intervention_name,estimated_cost,unit
Improved Road Signage,15000,per sign
Pedestrian Crossing Enhancement,50000,per crossing
Speed Calming Measures,20000,per location
Street Lighting Upgrade,12000,per light
Guard Rails Installation,300000,per km
Road Markings Renewal,8000,per 100m
Traffic Signal Synchronization,100000,per junction
Black Spot Improvement,500000,per location
Shoulder Widening,700000,per km
Speed Limit Enforcement,250000,per system
Drainage Maintenance,40000,per 100m
Road Surface Maintenance,100000,per 100m
Bus Bay Construction,200000,per bay
Pedestrian Guardrails,15000,per 50m
Crash Barrier at Bridges,350000,per bridge
